week,skill,count,co_skills
2024-W02,ios,83.2,"['agile', 'android', 'angular']"
2024-W02,data engineering,83.1,"['agile', 'android', 'angular']"
2024-W02,vue,79.5,"['agile', 'android', 'angular']"
2024-W02,elasticsearch,78.3,"['agile', 'android', 'angular']"
2024-W02,terraform,77.3,"['agile', 'android', 'angular']"
2024-W02,redis,77.0,"['agile', 'android', 'angular']"
2024-W02,kotlin,76.8,"['agile', 'android', 'angular']"
2024-W02,go,73.6,"['agile', 'android', 'angular']"
2024-W02,flask,72.5,"['agile', 'android', 'angular']"
2024-W02,swift,66.2,"['agile', 'android', 'angular']"
2024-W02,graphql,65.3,"['agile', 'android', 'angular']"
2024-W02,scikit-learn,53.4,"['agile', 'android', 'angular']"
2024-W02,rust,52.9,"['agile', 'android', 'angular']"
2024-W02,ruby,50.2,"['agile', 'android', 'angular']"
2024-W02,dart,42.1,[]
2024-W02,fastapi,41.3,[]
2024-W02,llm,32.0,[]
2024-W02,svelte,31.9,"['agile', 'android', 'angular']"
2024-W02,scala,30.5,"['agile', 'android', 'angular']"
2024-W02,langchain,18.5,[]
2024-W03,java,268.8,"['agile', 'android', 'angular']"
2024-W03,javascript,243.4,"['agile', 'android', 'angular']"
2024-W03,react,237.3,"['agile', 'android', 'angular']"
2024-W03,python,220.0,"['agile', 'android', 'angular']"
2024-W03,csharp,191.6,"['agile', 'android', 'angular']"
2024-W03,nodejs,190.9,"['agile', 'android', 'angular']"
2024-W03,aws,186.8,"['agile', 'android', 'angular']"
2024-W03,mysql,176.1,"['agile', 'android', 'angular']"
2024-W03,docker,172.6,"['agile', 'android', 'angular']"
2024-W03,dotnet,166.0,"['agile', 'android', 'angular']"
2024-W03,php,163.5,"['agile', 'android', 'angular']"
2024-W03,devops,147.6,"['agile', 'android', 'angular']"
2024-W03,azure,146.7,"['agile', 'android', 'angular']"
2024-W03,android,140.0,"['agile', 'angular', 'aws']"
2024-W03,machine learning,138.8,"['agile', 'android', 'angular']"
2024-W03,angular,136.7,"['agile', 'android', 'aws']"
2024-W03,spring,134.8,"['agile', 'android', 'angular']"
2024-W03,flutter,132.7,"['agile', 'android', 'angular']"
2024-W03,agile,129.9,"['android', 'angular', 'aws']"
2024-W03,postgresql,129.3,"['agile', 'android', 'angular']"
2024-W03,data science,127.5,"['agile', 'android', 'angular']"
2024-W03,mongodb,120.8,"['agile', 'android', 'angular']"
2024-W03,cybersecurity,118.1,"['agile', 'android', 'angular']"
2024-W03,react native,112.0,"['agile', 'android', 'angular']"
2024-W03,kubernetes,111.4,"['agile', 'android', 'angular']"
2024-W03,google cloud,109.0,"['agile', 'android', 'angular']"
2024-W03,typescript,102.4,[]
2024-W03,data engineering,98.2,"['agile', 'android', 'angular']"
2024-W03,blockchain,96.1,[]
2024-W03,cpp,93.9,"['agile', 'android', 'angular']"
2024-W03,tensorflow,93.9,"['agile', 'android', 'angular']"
2024-W03,laravel,91.2,"['agile', 'android', 'angular']"
2024-W03,next.js,90.5,"['agile', 'android', 'angular']"
2024-W03,django,90.1,"['agile', 'android', 'angular']"
2024-W03,microservices,85.1,"['agile', 'android', 'angular']"
2024-W03,deep learning,83.9,"['agile', 'android', 'angular']"
2024-W03,ios,80.8,"['agile', 'android', 'angular']"
2024-W03,redis,76.8,"['agile', 'android', 'angular']"
2024-W03,tailwind,76.2,[]
2024-W03,pytorch,71.6,"['agile', 'android', 'angular']"
2024-W03,go,69.8,"['agile', 'android', 'angular']"
2024-W03,flask,69.4,"['agile', 'android', 'angular']"
2024-W03,swift,67.2,"['agile', 'android', 'angular']"
2024-W03,elasticsearch,65.8,"['agile', 'android', 'angular']"
2024-W03,graphql,65.6,"['agile', 'android', 'angular']"
2024-W03,terraform,64.5,"['agile', 'android', 'angular']"
2024-W03,vue,61.9,"['agile', 'android', 'angular']"
2024-W03,scikit-learn,58.7,"['agile', 'android', 'angular']"
2024-W03,dart,58.1,"['agile', 'android', 'angular']"
2024-W03,kotlin,57.3,"['agile', 'android', 'angular']"
2024-W03,fastapi,45.4,[]
2024-W03,ruby,43.7,"['agile', 'android', 'angular']"
2024-W03,rust,40.9,"['agile', 'android', 'angular']"
2024-W03,llm,35.0,[]
2024-W03,svelte,34.8,"['agile', 'android', 'angular']"
2024-W03,scala,30.9,"['agile', 'android', 'angular']"
2024-W03,langchain,17.8,[]
2024-W04,java,280.3,"['agile', 'android', 'angular']"
2024-W04,javascript,252.5,"['agile', 'android', 'angular']"
2024-W04,python,229.0,"['agile', 'android', 'angular']"
2024-W04,react,225.2,"['agile', 'android', 'angular']"
2024-W04,nodejs,190.3,"['agile', 'android', 'angular']"
2024-W04,aws,184.7,"['agile', 'android', 'angular']"
2024-W04,csharp,184.4,"['agile', 'android', 'angular']"
2024-W04,mysql,168.7,"['agile', 'android', 'angular']"
2024-W04,dotnet,168.4,"['agile', 'android', 'angular']"
2024-W04,docker,158.8,"['agile', 'android', 'angular']"
2024-W04,devops,154.2,"['agile', 'android', 'angular']"
2024-W04,azure,153.6,"['agile', 'android', 'angular']"
2024-W04,angular,148.7,"['agile', 'android', 'aws']"
2024-W04,php,147.3,"['agile', 'android', 'angular']"
2024-W04,spring,143.2,"['agile', 'android', 'angular']"
2024-W04,data science,138.8,"['agile', 'android', 'angular']"
2024-W04,flutter,136.9,"['agile', 'android', 'angular']"
2024-W04,agile,136.1,"['android', 'angular', 'aws']"
2024-W04,machine learning,131.5,"['agile', 'android', 'angular']"
2024-W04,postgresql,129.2,"['agile', 'android', 'angular']"
2024-W04,android,127.2,"['agile', 'angular', 'aws']"
2024-W04,typescript,121.0,"['agile', 'android', 'angular']"
2024-W04,mongodb,120.7,"['agile', 'android', 'angular']"
2024-W04,cybersecurity,113.7,"['agile', 'android', 'angular']"
2024-W04,react native,110.5,"['agile', 'android', 'angular']"
2024-W04,google cloud,107.9,"['agile', 'android', 'angular']"
2024-W04,blockchain,102.5,"['agile', 'android', 'angular']"
2024-W04,laravel,96.8,"['agile', 'android', 'angular']"
2024-W04,kubernetes,95.5,"['agile', 'android', 'angular']"
2024-W04,tensorflow,93.7,"['agile', 'android', 'angular']"
2024-W04,deep learning,88.3,"['agile', 'android', 'angular']"
2024-W04,microservices,86.6,"['agile', 'android', 'angular']"
2024-W04,redis,84.2,"['agile', 'android', 'angular']"
2024-W04,cpp,82.6,"['agile', 'android', 'angular']"
2024-W04,django,80.1,"['agile', 'android', 'angular']"
2024-W04,data engineering,79.0,"['agile', 'android', 'angular']"
2024-W04,ios,78.5,"['agile', 'android', 'angular']"
2024-W04,go,77.6,"['agile', 'android', 'angular']"
2024-W04,pytorch,76.5,"['agile', 'android', 'angular']"
2024-W04,next.js,74.7,[]
2024-W04,elasticsearch,67.9,"['agile', 'android', 'angular']"
2024-W04,graphql,67.5,"['agile', 'android', 'angular']"
2024-W04,vue,64.8,"['agile', 'android', 'angular']"
2024-W04,terraform,63.5,"['agile', 'android', 'angular']"
2024-W04,flask,63.0,"['agile', 'android', 'angular']"
2024-W04,tailwind,60.8,[]
2024-W04,swift,60.7,"['agile', 'android', 'angular']"
2024-W04,scikit-learn,58.9,"['agile', 'android', 'angular']"
2024-W04,kotlin,57.3,[]
2024-W04,dart,53.6,"['agile', 'android', 'angular']"
2024-W04,fastapi,47.1,[]
2024-W04,rust,41.6,"['agile', 'android', 'angular']"
2024-W04,scala,41.4,"['agile', 'android', 'angular']"
2024-W04,ruby,36.1,"['agile', 'android', 'angular']"
2024-W04,svelte,25.4,[]
2024-W04,llm,19.0,[]
2024-W04,langchain,18.8,[]
2024-W05,java,267.2,"['agile', 'android', 'angular']"
2024-W05,javascript,264.6,"['agile', 'android', 'angular']"
2024-W05,react,227.8,"['agile', 'android', 'angular']"
2024-W05,python,212.5,"['agile', 'android', 'angular']"
2024-W05,nodejs,204.8,"['agile', 'android', 'angular']"
2024-W05,aws,184.3,"['agile', 'android', 'angular']"
2024-W05,mysql,174.6,"['agile', 'android', 'angular']"
2024-W05,docker,163.8,"['agile', 'android', 'angular']"
2024-W05,php,163.6,"['agile', 'android', 'angular']"
2024-W05,csharp,162.9,"['agile', 'android', 'angular']"
2024-W05,angular,162.0,"['agile', 'android', 'aws']"
2024-W05,dotnet,161.5,"['agile', 'android', 'angular']"
2024-W05,azure,146.4,"['agile', 'android', 'angular']"
2024-W05,spring,145.3,"['agile', 'android', 'angular']"
2024-W05,data science,142.9,"['agile', 'android', 'angular']"
2024-W05,android,142.0,"['agile', 'angular', 'aws']"
2024-W05,devops,138.0,"['agile', 'android', 'angular']"
2024-W05,machine learning,136.2,"['agile', 'android', 'angular']"
2024-W05,agile,134.4,"['android', 'angular', 'aws']"
2024-W05,postgresql,133.0,"['agile', 'android', 'angular']"
2024-W05,flutter,127.5,"['agile', 'android', 'angular']"
2024-W05,mongodb,122.6,"['agile', 'android', 'angular']"
2024-W05,cybersecurity,120.2,"['agile', 'android', 'angular']"
2024-W05,typescript,112.7,"['agile', 'android', 'angular']"
2024-W05,react native,111.6,"['agile', 'android', 'angular']"
2024-W05,kubernetes,109.9,"['agile', 'android', 'angular']"
2024-W05,google cloud,109.2,"['agile', 'android', 'angular']"
2024-W05,tensorflow,104.2,"['agile', 'android', 'angular']"
2024-W05,deep learning,102.1,"['agile', 'android', 'angular']"
2024-W05,blockchain,100.8,"['agile', 'android', 'angular']"
2024-W05,laravel,93.9,"['agile', 'android', 'angular']"
2024-W05,data engineering,88.8,"['agile', 'android', 'angular']"
2024-W05,terraform,86.9,"['agile', 'android', 'angular']"
2024-W05,redis,86.0,"['agile', 'android', 'angular']"
2024-W05,cpp,85.8,"['agile', 'android', 'angular']"
2024-W05,django,85.3,"['agile', 'android', 'angular']"
2024-W05,vue,85.1,"['agile', 'android', 'angular']"
2024-W05,tailwind,82.9,[]
2024-W05,next.js,79.4,[]
2024-W05,microservices,78.6,"['agile', 'android', 'angular']"
2024-W05,ios,77.3,"['agile', 'android', 'angular']"
2024-W05,pytorch,72.5,"['agile', 'android', 'angular']"
2024-W05,elasticsearch,72.4,"['agile', 'android', 'angular']"
2024-W05,go,64.2,"['agile', 'android', 'angular']"
2024-W05,swift,64.2,"['agile', 'android', 'angular']"
2024-W05,kotlin,63.5,[]
2024-W05,flask,61.3,"['agile', 'android', 'angular']"
2024-W05,graphql,54.2,[]
2024-W05,rust,53.7,"['agile', 'android', 'angular']"
2024-W05,dart,52.2,[]
2024-W05,scikit-learn,46.1,"['agile', 'android', 'angular']"
2024-W05,fastapi,45.2,[]
2024-W05,scala,43.7,"['agile', 'android', 'angular']"
2024-W05,ruby,43.1,"['agile', 'android', 'angular']"
2024-W05,llm,39.4,[]
2024-W05,langchain,23.0,[]
2024-W05,svelte,17.9,[]
2024-W06,java,288.7,"['android', 'angular', 'aws']"
2024-W06,javascript,257.6,"['android', 'angular', 'aws']"
2024-W06,react,239.8,"['android', 'angular', 'aws']"
2024-W06,python,222.7,"['android', 'angular', 'aws']"
2024-W06,docker,190.3,"['android', 'angular', 'aws']"
2024-W06,csharp,185.7,"['android', 'angular', 'aws']"
2024-W06,aws,183.3,"['android', 'angular', 'azure']"
2024-W06,nodejs,179.9,"['android', 'angular', 'aws']"
2024-W06,mysql,177.5,"['android', 'angular', 'aws']"
2024-W06,dotnet,170.2,"['android', 'angular', 'aws']"
2024-W06,php,169.2,"['android', 'angular', 'aws']"
2024-W06,spring,152.9,"['android', 'angular', 'aws']"
2024-W06,angular,152.8,"['android', 'aws', 'azure']"
2024-W06,azure,150.4,"['android', 'angular', 'aws']"
2024-W06,machine learning,148.2,"['android', 'angular', 'aws']"
2024-W06,android,143.7,"['angular', 'aws', 'azure']"
2024-W06,flutter,131.5,"['android', 'angular', 'aws']"
2024-W06,devops,131.3,"['android', 'angular', 'aws']"
2024-W06,cybersecurity,124.0,"['android', 'angular', 'aws']"
2024-W06,data science,121.4,"['android', 'angular', 'aws']"
2024-W06,mongodb,120.1,"['android', 'angular', 'aws']"
2024-W06,kubernetes,115.9,"['android', 'angular', 'aws']"
2024-W06,postgresql,114.3,"['android', 'angular', 'aws']"
2024-W06,agile,113.3,[]
2024-W06,react native,109.5,"['android', 'angular', 'aws']"
2024-W06,typescript,108.3,"['android', 'angular', 'aws']"
2024-W06,google cloud,103.8,"['android', 'angular', 'aws']"
2024-W06,blockchain,99.6,"['android', 'angular', 'aws']"
2024-W06,laravel,92.1,"['android', 'angular', 'aws']"
2024-W06,microservices,88.5,"['android', 'angular', 'aws']"
2024-W06,cpp,86.9,"['android', 'angular', 'aws']"
2024-W06,deep learning,86.8,"['android', 'angular', 'aws']"
2024-W06,next.js,85.7,"['android', 'angular', 'aws']"
2024-W06,data engineering,83.7,"['android', 'angular', 'aws']"
2024-W06,tailwind,80.3,[]
2024-W06,pytorch,79.4,"['android', 'angular', 'aws']"
2024-W06,redis,79.3,"['android', 'angular', 'aws']"
2024-W06,ios,78.1,"['android', 'angular', 'aws']"
2024-W06,tensorflow,77.3,"['android', 'angular', 'aws']"
2024-W06,elasticsearch,77.1,"['android', 'angular', 'aws']"
2024-W06,django,71.0,"['android', 'angular', 'aws']"
2024-W06,terraform,71.0,"['android', 'angular', 'aws']"
2024-W06,graphql,66.9,"['android', 'angular', 'aws']"
2024-W06,dart,65.2,"['android', 'angular', 'aws']"
2024-W06,flask,65.0,"['android', 'angular', 'aws']"
2024-W06,vue,63.8,"['android', 'angular', 'aws']"
2024-W06,go,61.3,"['android', 'angular', 'aws']"
2024-W06,kotlin,56.7,"['android', 'angular', 'aws']"
2024-W06,scikit-learn,55.5,"['android', 'angular', 'aws']"
2024-W06,fastapi,54.8,[]
2024-W06,ruby,50.1,"['android', 'angular', 'aws']"
2024-W06,swift,46.0,"['android', 'angular', 'aws']"
2024-W06,scala,37.8,"['android', 'angular', 'aws']"
2024-W06,rust,36.1,"['android', 'angular', 'aws']"
2024-W06,svelte,29.3,"['android', 'angular', 'aws']"
2024-W06,llm,25.0,[]
2024-W06,langchain,21.2,[]
2024-W07,java,270.0,"['agile', 'android', 'angular']"
2024-W07,javascript,260.6,"['agile', 'android', 'angular']"
2024-W07,react,233.7,"['agile', 'android', 'angular']"
2024-W07,python,226.5,"['agile', 'android', 'angular']"
2024-W07,aws,193.5,"['agile', 'android', 'angular']"
2024-W07,nodejs,184.4,"['agile', 'android', 'angular']"
2024-W07,docker,174.1,"['agile', 'android', 'angular']"
2024-W07,csharp,171.1,"['agile', 'android', 'angular']"
2024-W07,mysql,167.8,"['agile', 'android', 'angular']"
2024-W07,devops,163.6,"['agile', 'android', 'angular']"
2024-W07,dotnet,160.0,"['agile', 'android', 'angular']"
2024-W07,angular,145.7,"['agile', 'android', 'aws']"
2024-W07,android,145.1,"['agile', 'angular', 'aws']"
2024-W07,spring,143.9,"['agile', 'android', 'angular']"
2024-W07,machine learning,143.2,"['agile', 'android', 'angular']"
2024-W07,azure,142.6,"['agile', 'android', 'angular']"
2024-W07,php,139.4,"['agile', 'android', 'angular']"
2024-W07,flutter,138.2,"['agile', 'android', 'angular']"
2024-W07,postgresql,138.2,"['agile', 'android', 'angular']"
2024-W07,agile,135.7,"['android', 'angular', 'aws']"
2024-W07,mongodb,122.8,"['agile', 'android', 'angular']"
2024-W07,data science,116.3,"['agile', 'android', 'angular']"
2024-W07,kubernetes,114.7,"['agile', 'android', 'angular']"
2024-W07,blockchain,109.5,"['agile', 'android', 'angular']"
2024-W07,cybersecurity,109.1,"['agile', 'android', 'angular']"
2024-W07,tensorflow,106.9,"['agile', 'android', 'angular']"
2024-W07,react native,105.5,"['agile', 'android', 'angular']"
2024-W07,laravel,101.5,"['agile', 'android', 'angular']"
2024-W07,typescript,101.0,[]
2024-W07,cpp,92.5,"['agile', 'android', 'angular']"
2024-W07,google cloud,92.4,"['agile', 'android', 'angular']"
2024-W07,deep learning,90.6,"['agile', 'android', 'angular']"
2024-W07,redis,89.3,"['agile', 'android', 'angular']"
2024-W07,data engineering,88.5,"['agile', 'android', 'angular']"
2024-W07,ios,84.6,"['agile', 'android', 'angular']"
2024-W07,terraform,82.7,"['agile', 'android', 'angular']"
2024-W07,django,81.6,"['agile', 'android', 'angular']"
2024-W07,microservices,81.3,"['agile', 'android', 'angular']"
2024-W07,next.js,80.5,"['agile', 'android', 'angular']"
2024-W07,flask,74.4,"['agile', 'android', 'angular']"
2024-W07,vue,72.0,"['agile', 'android', 'angular']"
2024-W07,tailwind,69.3,[]
2024-W07,kotlin,64.3,"['agile', 'android', 'angular']"
2024-W07,pytorch,63.8,"['agile', 'android', 'angular']"
2024-W07,graphql,57.0,"['agile', 'android', 'angular']"
2024-W07,elasticsearch,55.9,[]
2024-W07,swift,55.7,"['agile', 'android', 'angular']"
2024-W07,go,51.4,"['agile', 'android', 'angular']"
2024-W07,dart,49.5,[]
2024-W07,rust,46.3,"['agile', 'android', 'angular']"
2024-W07,scikit-learn,44.7,[]
2024-W07,ruby,34.2,"['agile', 'android', 'angular']"
2024-W07,scala,30.1,"['agile', 'android', 'angular']"
2024-W07,svelte,29.7,[]
2024-W07,fastapi,27.7,[]
2024-W07,llm,26.9,[]
2024-W07,langchain,23.4,[]
2024-W08,java,272.9,"['agile', 'android', 'angular']"
2024-W08,javascript,258.8,"['agile', 'android', 'angular']"
2024-W08,react,231.8,"['agile', 'android', 'angular']"
2024-W08,python,225.7,"['agile', 'android', 'angular']"
2024-W08,csharp,193.0,"['agile', 'android', 'angular']"
2024-W08,aws,191.5,"['agile', 'android', 'angular']"
2024-W08,nodejs,188.6,"['agile', 'android', 'angular']"
2024-W08,docker,176.8,"['agile', 'android', 'angular']"
2024-W08,mysql,175.0,"['agile', 'android', 'angular']"
2024-W08,angular,164.4,"['agile', 'android', 'aws']"
2024-W08,dotnet,161.0,"['agile', 'android', 'angular']"
2024-W08,php,146.8,"['agile', 'android', 'angular']"
2024-W08,devops,145.6,"['agile', 'android', 'angular']"
2024-W08,flutter,143.2,"['agile', 'android', 'angular']"
2024-W08,machine learning,141.0,"['agile', 'android', 'angular']"
2024-W08,agile,135.1,"['android', 'angular', 'aws']"
2024-W08,spring,134.0,"['agile', 'android', 'angular']"
2024-W08,android,133.1,"['agile', 'angular', 'aws']"
2024-W08,azure,132.2,"['agile', 'android', 'angular']"
2024-W08,typescript,127.8,"['agile', 'android', 'angular']"
2024-W08,react native,124.5,"['agile', 'android', 'angular']"
2024-W08,data science,123.2,"['agile', 'android', 'angular']"
2024-W08,mongodb,122.0,"['agile', 'android', 'angular']"
2024-W08,postgresql,121.8,"['agile', 'android', 'angular']"
2024-W08,cybersecurity,116.1,"['agile', 'android', 'angular']"
2024-W08,kubernetes,110.9,"['agile', 'android', 'angular']"
2024-W08,google cloud,106.4,"['agile', 'android', 'angular']"
2024-W08,tensorflow,93.5,"['agile', 'android', 'angular']"
2024-W08,data engineering,91.5,"['agile', 'android', 'angular']"
2024-W08,ios,88.8,"['agile', 'android', 'angular']"
2024-W08,tailwind,86.5,"['agile', 'android', 'angular']"
2024-W08,laravel,85.2,"['agile', 'android', 'angular']"
2024-W08,next.js,85.2,"['agile', 'android', 'angular']"
2024-W08,pytorch,85.0,"['agile', 'android', 'angular']"
2024-W08,deep learning,81.8,"['agile', 'android', 'angular']"
2024-W08,blockchain,80.8,[]
2024-W08,cpp,78.7,"['agile', 'android', 'angular']"
2024-W08,microservices,77.6,"['agile', 'android', 'angular']"
2024-W08,django,76.7,"['agile', 'android', 'angular']"
2024-W08,redis,76.4,"['agile', 'android', 'angular']"
2024-W08,go,76.2,"['agile', 'android', 'angular']"
2024-W08,terraform,72.0,"['agile', 'android', 'angular']"
2024-W08,vue,68.3,"['agile', 'android', 'angular']"
2024-W08,scikit-learn,68.0,"['agile', 'android', 'angular']"
2024-W08,elasticsearch,62.7,"['agile', 'android', 'angular']"
2024-W08,kotlin,62.5,"['agile', 'android', 'angular']"
2024-W08,flask,59.9,"['agile', 'android', 'angular']"
2024-W08,dart,57.9,"['agile', 'android', 'angular']"
2024-W08,rust,57.8,"['agile', 'android', 'angular']"
2024-W08,swift,57.7,"['agile', 'android', 'angular']"
2024-W08,graphql,54.5,"['agile', 'android', 'angular']"
2024-W08,ruby,54.1,"['agile', 'android', 'angular']"
2024-W08,fastapi,43.4,[]
2024-W08,scala,39.6,"['agile', 'android', 'angular']"
2024-W08,llm,28.5,[]
2024-W08,langchain,21.2,[]
2024-W08,svelte,13.1,[]
2024-W09,java,276.1,"['agile', 'android', 'angular']"
2024-W09,javascript,257.3,"['agile', 'android', 'angular']"
2024-W09,react,224.2,"['agile', 'android', 'angular']"
2024-W09,python,214.6,"['agile', 'android', 'angular']"
2024-W09,aws,192.9,"['agile', 'android', 'angular']"
2024-W09,docker,188.1,"['agile', 'android', 'angular']"
2024-W09,nodejs,186.1,"['agile', 'android', 'angular']"
2024-W09,mysql,176.3,"['agile', 'android', 'angular']"
2024-W09,csharp,175.6,"['agile', 'android', 'angular']"
2024-W09,dotnet,173.7,"['agile', 'android', 'angular']"
2024-W09,angular,166.9,"['agile', 'android', 'aws']"
2024-W09,devops,154.5,"['agile', 'android', 'angular']"
2024-W09,php,143.9,"['agile', 'android', 'angular']"
2024-W09,spring,143.4,"['agile', 'android', 'angular']"
2024-W09,azure,142.7,"['agile', 'android', 'angular']"
2024-W09,android,141.6,"['agile', 'angular', 'aws']"
2024-W09,machine learning,139.3,"['agile', 'android', 'angular']"
2024-W09,agile,137.5,"['android', 'angular', 'aws']"
2024-W09,data science,133.3,"['agile', 'android', 'angular']"
2024-W09,flutter,128.1,"['agile', 'android', 'angular']"
2024-W09,cybersecurity,125.1,"['agile', 'android', 'angular']"
2024-W09,postgresql,122.0,"['agile', 'android', 'angular']"
2024-W09,kubernetes,118.4,"['agile', 'android', 'angular']"
2024-W09,mongodb,117.5,"['agile', 'android', 'angular']"
2024-W09,react native,112.0,"['agile', 'android', 'angular']"
2024-W09,next.js,108.1,"['agile', 'android', 'angular']"
2024-W09,google cloud,107.6,"['agile', 'android', 'angular']"
2024-W09,tensorflow,104.0,"['agile', 'android', 'angular']"
2024-W09,laravel,102.6,"['agile', 'android', 'angular']"
2024-W09,typescript,102.5,"['agile', 'android', 'angular']"
2024-W09,cpp,92.9,"['agile', 'android', 'angular']"
2024-W09,django,91.5,"['agile', 'android', 'angular']"
2024-W09,pytorch,89.4,"['agile', 'android', 'angular']"
2024-W09,blockchain,86.2,[]
