candidate_id,target_role,experience_level,cv_skills_count,required_skills_count,preferred_skills_count,matched_required_count,matched_preferred_count,missing_required_count,missing_preferred_count,required_match_ratio,preferred_match_ratio,project_match_ratio,experience_months,num_projects,has_projects,num_certificates,has_certificates,ats_quality_score,final_score,level
CAND_24AABA0E,AI ML,Fresher,11,10,12,0,4,10,7,0.0,0.36363636363636365,0.0,0.0,0.0,0,0.0,0,16.5,4.46,Beginner
CAND_E931B936,AI ML,Fresher,22,10,12,6,4,4,7,0.6,0.36363636363636365,0.0,0.0,1.0,1,17.0,1,38.0,41.2,Beginner
CAND_FFAA093B,AI ML,Fresher,20,10,12,8,3,2,8,0.8,0.2727272727272727,0.0,0.0,0.0,0,24.0,1,30.0,46.23,Beginner
CAND_434E0DDA,AI ML,Fresher,26,10,12,9,2,1,9,0.9,0.18181818181818182,0.0,0.0,0.0,0,31.0,1,39.0,49.77,Beginner
CAND_578C58C4,AI ML,Junior,17,10,12,6,3,4,8,0.6,0.2727272727272727,0.0,24.0,0.0,0,8.0,1,25.5,53.0,Intermediate
CAND_D76770F5,AI ML,Fresher,28,10,12,6,6,4,5,0.6,0.5454545454545454,0.0,0.0,0.0,0,6.0,1,42.0,41.55,Beginner
CAND_855B4C2E,AI ML,Entry Level,28,10,12,10,6,0,5,1.0,0.5454545454545454,0.0,3.0,0.0,0,38.0,1,42.0,59.43,Intermediate
CAND_7AE7152E,AI ML,Fresher,20,10,12,4,5,6,6,0.4,0.45454545454545453,0.0,0.0,0.0,0,5.0,1,30.0,32.05,Beginner
CAND_FD17331F,AI ML,Fresher,20,10,12,7,4,3,7,0.7,0.36363636363636365,0.14285714285714285,0.0,2.0,1,2.0,1,40.0,43.11,Beginner
CAND_7A2DF02A,AI ML,Fresher,20,10,12,5,4,5,7,0.5,0.36363636363636365,0.0,0.0,0.0,0,0.0,0,30.0,25.14,Beginner
CAND_DF46C549,AI ML,Fresher,19,10,12,4,3,6,8,0.4,0.2727272727272727,0.0,0.0,0.0,0,0.0,0,28.5,20.15,Beginner
CAND_486FB443,AI ML,Fresher,11,10,12,2,3,8,8,0.2,0.2727272727272727,0.0,0.0,0.0,0,9.0,1,16.5,21.55,Beginner
CAND_88864EA4,AI ML,Fresher,15,10,12,5,3,5,8,0.5,0.2727272727272727,0.3333333333333333,0.0,3.0,1,9.0,1,37.5,44.6,Beginner
CAND_6885D418,AI ML,Fresher,6,10,12,3,1,7,10,0.3,0.09090909090909091,0.0,0.0,0.0,0,0.0,0,9.0,13.36,Beginner
CAND_3C8B57E2,AI ML,Fresher,22,10,12,4,5,6,6,0.4,0.45454545454545453,0.0,0.0,0.0,0,27.0,1,33.0,32.2,Beginner
CAND_59211E5D,AI ML,Fresher,13,10,12,4,2,6,9,0.4,0.18181818181818182,0.0,0.0,0.0,0,32.0,1,19.5,28.79,Beginner
CAND_DC4257BB,AI ML,Fresher,11,10,12,1,4,9,7,0.1,0.36363636363636365,0.0,0.0,0.0,0,11.0,1,16.5,18.46,Beginner
CAND_03B358C0,AI ML,Fresher,22,10,12,5,4,5,7,0.5,0.36363636363636365,0.2857142857142857,0.0,8.0,1,6.0,1,73.0,46.57,Beginner
CAND_EFAA1780,AI ML,Fresher,32,10,12,9,3,1,8,0.9,0.2727272727272727,0.6190476190476191,0.0,3.0,1,9.0,1,63.0,66.16,Intermediate
CAND_836B6254,AI ML,Fresher,31,10,12,8,6,2,5,0.8,0.5454545454545454,0.0,0.0,0.0,0,27.0,1,46.5,49.78,Beginner
CAND_D4E1A4F0,AI ML,Fresher,38,10,12,9,3,1,8,0.9,0.2727272727272727,0.3333333333333333,0.0,3.0,1,4.0,1,72.0,60.33,Intermediate
CAND_EEA0C2D1,AI ML,Fresher,16,10,12,6,3,4,8,0.6,0.2727272727272727,0.0,0.0,0.0,0,36.0,1,24.0,37.93,Beginner
CAND_B8AC6392,AI ML,Fresher,25,10,12,7,4,3,7,0.7,0.36363636363636365,0.0,0.0,0.0,0,0.0,0,37.5,33.51,Beginner
CAND_993D510F,AI ML,Fresher,24,10,12,9,3,1,8,0.9,0.2727272727272727,0.0,0.0,0.0,0,4.0,1,36.0,48.53,Beginner
CAND_917512DC,AI ML,Fresher,19,10,12,2,4,8,7,0.2,0.36363636363636365,0.2857142857142857,0.0,5.0,1,13.0,1,53.5,33.6,Beginner
CAND_84F88CA1,AI ML,Fresher,16,10,12,1,4,9,7,0.1,0.36363636363636365,0.0,0.0,0.0,0,8.0,1,24.0,18.84,Beginner
CAND_AAEBD066,AI ML,Fresher,26,10,12,7,1,3,10,0.7,0.09090909090909091,0.0,0.0,0.0,0,2.0,1,39.0,34.86,Beginner
CAND_0B8D1441,AI ML,Fresher,29,10,12,8,3,2,8,0.8,0.2727272727272727,0.0,0.0,0.0,0,7.0,1,43.5,46.9,Beginner
CAND_5FABDFCF,AI ML,Fresher,27,10,12,8,5,2,6,0.8,0.45454545454545453,0.0,0.0,0.0,0,17.0,1,40.5,48.57,Beginner
CAND_B9D160A4,AI ML,Fresher,27,10,12,8,5,2,6,0.8,0.45454545454545453,0.0,0.0,0.0,0,19.0,1,40.5,48.57,Beginner
CAND_DCB6FEEF,AI ML,Fresher,28,10,12,7,5,3,6,0.7,0.45454545454545453,0.0,0.0,0.0,0,0.0,0,42.0,34.65,Beginner
CAND_C1E072C7,AI ML,Fresher,20,10,12,2,6,8,5,0.2,0.5454545454545454,0.0,0.0,0.0,0,18.0,1,30.0,24.95,Beginner
CAND_95A84DD4,AI ML,Fresher,24,10,12,8,1,2,10,0.8,0.09090909090909091,0.42857142857142855,0.0,11.0,1,3.0,1,91.0,54.89,Intermediate
CAND_B4B4565B,AI ML,Fresher,7,10,12,2,1,8,10,0.2,0.09090909090909091,0.0,0.0,0.0,0,5.0,1,10.5,19.43,Beginner
CAND_E4BCCC69,AI ML,Fresher,49,10,12,10,5,0,6,1.0,0.45454545454545453,0.0,0.0,0.0,0,26.0,1,73.5,58.22,Intermediate
CAND_779086B8,AI ML,Fresher,23,10,12,8,3,2,8,0.8,0.2727272727272727,0.0,0.0,0.0,0,0.0,0,34.5,36.45,Beginner
CAND_F5B4C333,AI ML,Fresher,26,10,12,8,3,2,8,0.8,0.2727272727272727,0.0,0.0,0.0,0,30.0,1,39.0,46.68,Beginner
CAND_806B84A6,AI ML,Mid Level,15,10,12,1,5,9,6,0.1,0.45454545454545453,0.0,612.0,1.0,1,0.0,0,27.5,26.59,Beginner
CAND_290FB434,Data Analyst,Fresher,14,10,7,3,3,7,4,0.3,0.42857142857142855,0.0,0.0,0.0,0,3.0,1,21.0,23.34,Beginner
CAND_2D78F605,Data Analyst,Fresher,6,10,7,0,2,10,5,0.0,0.2857142857142857,0.0,0.0,0.0,0,7.0,1,9.0,13.31,Beginner
CAND_E837FE34,Data Analyst,Fresher,0,10,7,0,0,10,7,0.0,0.0,0.0,0.0,0.0,0,18.0,1,0.0,10.0,Beginner
CAND_A268D615,Data Analyst,Fresher,38,10,7,6,3,4,4,0.6,0.42857142857142855,0.35294117647058826,0.0,6.0,1,34.0,1,87.0,52.93,Intermediate
CAND_AFBA0014,Data Analyst,Fresher,17,10,7,4,2,6,5,0.4,0.2857142857142857,0.0,0.0,1.0,1,6.0,1,30.5,32.05,Beginner
CAND_9DC621BF,Data Analyst,Fresher,7,10,7,2,2,8,5,0.2,0.2857142857142857,0.0,0.0,0.0,0,50.0,1,10.5,21.38,Beginner
CAND_ACA0EA9A,Data Analyst,Fresher,29,10,7,2,3,8,4,0.2,0.42857142857142855,0.0,0.0,0.0,0,11.0,1,43.5,24.46,Beginner
CAND_AEE75E7F,Data Analyst,Fresher,15,10,7,0,2,10,5,0.0,0.2857142857142857,0.0,0.0,0.0,0,0.0,0,22.5,3.98,Beginner
CAND_9556242E,Data Analyst,Fresher,18,10,7,5,2,5,5,0.5,0.2857142857142857,0.0,0.0,0.0,0,16.0,1,27.0,34.21,Beginner
CAND_5AD06641,Data Analyst,Fresher,9,10,7,0,2,10,5,0.0,0.2857142857142857,0.0,0.0,0.0,0,0.0,0,13.5,3.53,Beginner
CAND_9B669102,Data Analyst,Fresher,13,10,7,0,2,10,5,0.0,0.2857142857142857,0.0,0.0,0.0,0,7.0,1,19.5,13.83,Beginner
CAND_A7DCF9D7,Data Analyst,Fresher,1,10,7,1,0,9,7,0.1,0.0,0.0,0.0,0.0,0,0.0,0,1.5,4.08,Beginner
CAND_6A53BE92,Data Analyst,Fresher,18,10,7,2,2,8,5,0.2,0.2857142857142857,0.0,0.0,0.0,0,0.0,0,27.0,12.21,Beginner
CAND_53CF5D86,Data Analyst,Fresher,4,10,7,3,1,7,6,0.3,0.14285714285714285,0.0,0.0,0.0,0,0.0,0,6.0,13.73,Beginner
CAND_0833CA4D,Data Analyst,Fresher,6,10,7,0,2,10,5,0.0,0.2857142857142857,0.11764705882352941,0.0,4.0,1,0.0,0,29.0,11.07,Beginner
CAND_508C8902,Data Analyst,Fresher,21,10,7,4,2,6,5,0.4,0.2857142857142857,0.0,0.0,0.0,0,38.0,1,31.5,30.43,Beginner
CAND_70BB60EB,Data Analyst,Fresher,15,10,7,3,3,7,4,0.3,0.42857142857142855,0.0,0.0,0.0,0,33.0,1,22.5,27.41,Beginner
CAND_A8792D2E,Data Analyst,Fresher,12,10,7,3,3,7,4,0.3,0.42857142857142855,0.0,0.0,3.0,1,16.0,1,33.0,32.94,Beginner
CAND_C8702B0F,Data Analyst,Fresher,20,10,7,3,2,7,5,0.3,0.2857142857142857,0.0,0.0,2.0,1,9.0,1,40.0,30.19,Beginner
CAND_9C20C0C3,Data Analyst,Fresher,6,10,7,2,1,8,6,0.2,0.14285714285714285,0.0,0.0,0.0,0,6.0,1,9.0,19.88,Beginner
CAND_AE3CFEB1,Data Analyst,Fresher,9,10,7,2,2,8,5,0.2,0.2857142857142857,0.0,0.0,0.0,0,24.0,1,13.5,21.53,Beginner
CAND_EF8CE921,Data Analyst,Fresher,4,10,7,0,1,10,6,0.0,0.14285714285714285,0.0,0.0,0.0,0,8.0,1,6.0,11.73,Beginner
CAND_D74A7457,Data Analyst,Fresher,2,10,7,0,1,10,6,0.0,0.14285714285714285,0.0,0.0,0.0,0,19.0,1,3.0,11.58,Beginner
CAND_A89E4F3F,Data Analyst,Fresher,25,10,7,3,3,7,4,0.3,0.42857142857142855,0.23529411764705882,0.0,4.0,1,0.0,0,57.5,27.69,Beginner
CAND_8C23313A,Data Analyst,Fresher,5,10,7,1,1,9,6,0.1,0.14285714285714285,0.0,0.0,0.0,0,13.0,1,7.5,15.8,Beginner
CAND_B1B94CE6,Data Analyst,Fresher,25,10,7,5,3,5,4,0.5,0.42857142857142855,0.0,0.0,0.0,0,0.0,0,37.5,26.16,Beginner
CAND_CD3330E3,Data Analyst,Fresher,14,10,7,4,2,6,5,0.4,0.2857142857142857,0.0,0.0,0.0,0,26.0,1,21.0,29.91,Beginner
CAND_9783EAB2,Data Analyst,Fresher,7,10,7,1,2,9,5,0.1,0.2857142857142857,0.0,0.0,0.0,0,39.0,1,10.5,17.38,Beginner
CAND_B150F1F6,Data Analyst,Fresher,18,10,7,5,3,5,4,0.5,0.42857142857142855,0.0,0.0,0.0,0,0.0,0,27.0,25.64,Beginner
CAND_09B104EC,Data Analyst,Fresher,13,10,7,2,1,8,6,0.2,0.14285714285714285,0.0,0.0,1.0,1,6.0,1,24.5,22.32,Beginner
CAND_1F880F9D,Data Analyst,Fresher,13,10,7,5,1,5,6,0.5,0.14285714285714285,0.0,0.0,0.0,0,20.0,1,19.5,32.4,Beginner
CAND_2DFCB16A,Data Analyst,Fresher,28,10,7,2,3,8,4,0.2,0.42857142857142855,0.0,0.0,0.0,0,9.0,1,42.0,24.39,Beginner
CAND_9B9B9664,Data Analyst,Fresher,18,10,7,0,2,10,5,0.0,0.2857142857142857,0.0,0.0,0.0,0,7.0,1,27.0,14.21,Beginner
CAND_AFEB6B3B,Data Analyst,Fresher,31,10,7,4,3,6,4,0.4,0.42857142857142855,0.0,0.0,0.0,0,0.0,0,46.5,22.61,Beginner
CAND_2E86D007,Data Analyst,Fresher,25,10,7,2,3,8,4,0.2,0.42857142857142855,0.0,0.0,0.0,0,6.0,1,37.5,24.16,Beginner
CAND_7496CA7E,Data Analyst,Fresher,16,10,7,4,2,6,5,0.4,0.2857142857142857,0.0,0.0,0.0,0,6.0,1,24.0,30.06,Beginner
CAND_134976DE,Data Analyst,Fresher,7,10,7,2,1,8,6,0.2,0.14285714285714285,0.058823529411764705,0.0,1.0,1,47.0,1,15.5,22.75,Beginner
CAND_D7D2A11D,Data Analyst,Fresher,20,10,7,4,2,6,5,0.4,0.2857142857142857,0.0,0.0,0.0,0,4.0,1,30.0,28.36,Beginner
CAND_A0746461,Data Analyst,Fresher,7,10,7,4,2,6,5,0.4,0.2857142857142857,0.0,0.0,0.0,0,7.0,1,10.5,29.38,Beginner
CAND_FE9AC678,Data Analyst,Fresher,0,10,7,0,0,10,7,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,Beginner
CAND_24F4D650,Data Analyst,Fresher,11,10,7,1,2,9,5,0.1,0.2857142857142857,0.23529411764705882,0.0,2.0,1,28.0,1,26.5,25.04,Beginner
CAND_A985AF39,Data Analyst,Fresher,1,10,7,0,0,10,7,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.5,0.07,Beginner
CAND_EC16FCC9,Data Analyst,Fresher,13,10,7,0,2,10,5,0.0,0.2857142857142857,0.0,0.0,0.0,0,0.0,0,19.5,3.83,Beginner
CAND_E83B66AF,Data Analyst,Fresher,13,10,7,4,2,6,5,0.4,0.2857142857142857,0.0,0.0,0.0,0,12.0,1,19.5,29.83,Beginner
CAND_46EF8BFB,Data Analyst,Fresher,13,10,7,1,1,9,6,0.1,0.14285714285714285,0.11764705882352941,0.0,1.0,1,10.0,1,24.5,20.08,Beginner
CAND_1E3167FE,Data Analyst,Fresher,29,10,7,4,3,6,4,0.4,0.42857142857142855,0.0,0.0,0.0,0,9.0,1,43.5,32.46,Beginner
CAND_2F77652F,Data Analyst,Fresher,25,10,7,3,3,7,4,0.3,0.42857142857142855,0.0,0.0,0.0,0,0.0,0,37.5,18.16,Beginner
CAND_DF2A738E,Data Analyst,Entry Level,5,10,7,1,1,9,6,0.1,0.14285714285714285,0.0,6.0,0.0,0,19.0,1,7.5,19.55,Beginner
CAND_5376585C,Data Analyst,Fresher,20,10,7,4,2,6,5,0.4,0.2857142857142857,0.0,0.0,0.0,0,0.0,0,30.0,20.36,Beginner
CAND_C0E74ABB,Data Analyst,Fresher,2,10,7,1,1,9,6,0.1,0.14285714285714285,0.0,0.0,0.0,0,19.0,1,3.0,15.58,Beginner
CAND_300E011F,Data Analyst,Fresher,4,10,7,0,1,10,6,0.0,0.14285714285714285,0.0,0.0,0.0,0,14.0,1,6.0,11.73,Beginner
CAND_1D1695F1,Data Analyst,Fresher,30,10,7,4,3,6,4,0.4,0.42857142857142855,0.058823529411764705,0.0,1.0,1,1.0,1,50.0,27.33,Beginner
CAND_F0AED9CA,Data Analyst,Fresher,11,10,7,3,3,7,4,0.3,0.42857142857142855,0.0,0.0,0.0,0,6.0,1,16.5,27.11,Beginner
CAND_12958856,Data Analyst,Fresher,14,10,7,0,2,10,5,0.0,0.2857142857142857,0.0,0.0,0.0,0,0.0,0,21.0,3.91,Beginner
CAND_B0193106,Data Analyst,Fresher,22,10,7,5,2,5,5,0.5,0.2857142857142857,0.0,0.0,0.0,0,13.0,1,33.0,34.51,Beginner
CAND_65E2A96F,Data Analyst,Fresher,8,10,7,4,2,6,5,0.4,0.2857142857142857,0.0,0.0,0.0,0,23.0,1,12.0,29.46,Beginner
CAND_BEEAC839,Data Analyst,Fresher,37,10,7,4,2,6,5,0.4,0.2857142857142857,0.0,0.0,0.0,0,20.0,1,55.5,31.63,Beginner
CAND_4C80CBEB,Data Analyst,Fresher,5,10,7,2,2,8,5,0.2,0.2857142857142857,0.0,0.0,0.0,0,33.0,1,7.5,21.23,Beginner
CAND_7821B593,Data Analyst,Fresher,10,10,7,0,1,10,6,0.0,0.14285714285714285,0.0,0.0,3.0,1,21.0,1,30.0,17.93,Beginner
CAND_CD1F6CC7,Software Engineer,Entry Level,27,10,11,5,6,5,4,0.5,0.6,0.15,6.0,6.0,1,3.0,1,76.5,46.83,Beginner
CAND_1666FFF6,Backend Developer,Fresher,26,10,9,4,2,5,7,0.4444444444444444,0.2222222222222222,0.0,0.0,2.0,1,1.0,1,51.0,27.88,Beginner
CAND_0F02C7E3,Machine Learning Engineer,Entry Level,24,10,1,4,0,6,1,0.4,0.0,0.2727272727272727,12.0,3.0,1,1.0,1,53.0,37.24,Beginner
CAND_ADDD455B,UI/UX Designer,Entry Level,26,10,7,0,0,10,7,0.0,0.0,0.0,6.0,7.0,1,2.0,1,78.0,16.65,Beginner
CAND_90DCDE54,Product Manager,Entry Level,23,8,0,0,0,8,0,0.0,0.0,0.0,12.0,2.0,1,3.0,1,50.5,19.36,Beginner
CAND_1F5C19EF,Mobile Developer,Entry Level,28,10,15,2,3,8,12,0.2,0.2,0.0,6.0,2.0,1,0.0,0,52.0,19.68,Beginner
CAND_8CFAF8F3,UI/UX Designer,Entry Level,25,10,7,0,0,10,7,0.0,0.0,0.0,12.0,2.0,1,1.0,1,49.5,15.31,Beginner
CAND_39215490,Mobile Developer,Mid Level,23,10,15,4,1,6,14,0.4,0.06666666666666667,0.04,48.0,3.0,1,1.0,1,51.5,41.84,Beginner
CAND_5B3740AA,UI/UX Designer,Entry Level,23,10,7,0,1,10,6,0.0,0.14285714285714285,0.0,12.0,2.0,1,3.0,1,50.5,20.79,Beginner
CAND_6F5E87E7,DevOps Engineer,Fresher,22,10,7,1,1,9,6,0.1,0.14285714285714285,0.0,0.0,1.0,1,3.0,1,44.0,15.3,Beginner
CAND_0AE925E1,Data Analyst,Entry Level,25,10,7,6,3,4,4,0.6,0.42857142857142855,0.11764705882352941,6.0,3.0,1,3.0,1,58.5,47.73,Beginner
CAND_DA1DC49C,Frontend Developer,Fresher,28,10,10,2,1,8,8,0.2,0.1111111111111111,0.0,0.0,3.0,1,1.0,1,59.0,19.06,Beginner
CAND_E4CC429F,Software Engineer,Entry Level,25,10,11,6,5,4,5,0.6,0.5,0.1,12.0,1.0,1,4.0,1,50.5,50.19,Intermediate
CAND_57158E30,Data Engineer,Fresher,22,10,15,1,5,8,9,0.1111111111111111,0.35714285714285715,0.043478260869565216,0.0,5.0,1,4.0,1,66.0,24.97,Beginner
CAND_A11B56F7,Cloud Engineer,Junior,26,10,7,2,1,8,6,0.2,0.14285714285714285,0.058823529411764705,24.0,8.0,1,0.0,0,79.0,34.26,Beginner
CAND_C046F819,UI/UX Designer,Fresher,25,10,7,0,1,10,6,0.0,0.14285714285714285,0.0,0.0,1.0,1,0.0,0,42.5,5.22,Beginner
CAND_FCD205C7,UI/UX Designer,Fresher,24,10,7,0,2,10,5,0.0,0.2857142857142857,0.0,0.0,4.0,1,2.0,1,60.0,14.86,Beginner
CAND_1AC90280,Mobile Developer,Entry Level,28,10,15,0,4,10,11,0.0,0.26666666666666666,0.04,12.0,6.0,1,2.0,1,76.0,23.57,Beginner
CAND_C8503D3C,System Administrator,Fresher,26,2,0,0,0,2,0,0.0,0.0,0.0,0.0,6.0,1,1.0,1,71.0,10.55,Beginner
CAND_79B4D867,Mobile Developer,Entry Level,25,10,15,2,2,8,13,0.2,0.13333333333333333,0.08,6.0,4.0,1,4.0,1,65.5,30.56,Beginner
CAND_A9C257B7,QA Engineer,Mid Level,26,10,8,0,2,10,6,0.0,0.25,0.0,48.0,0.0,0,2.0,1,43.0,23.65,Beginner
CAND_F85823DE,Backend Developer,Entry Level,21,10,9,4,2,5,7,0.4444444444444444,0.2222222222222222,0.11764705882352941,12.0,4.0,1,1.0,1,53.5,38.94,Beginner
CAND_70848779,Frontend Developer,Fresher,23,10,10,0,2,10,7,0.0,0.2222222222222222,0.0,0.0,4.0,1,2.0,1,58.5,14.15,Beginner
CAND_D83167C5,Product Manager,Entry Level,25,8,0,3,0,5,0,0.375,0.0,0.125,6.0,2.0,1,3.0,1,53.5,32.63,Beginner
CAND_B943E561,DevOps Engineer,Entry Level,26,10,7,2,3,8,4,0.2,0.42857142857142855,0.0,6.0,2.0,1,3.0,1,55.0,28.12,Beginner
CAND_542D84D6,AI ML,Entry Level,28,10,12,8,4,2,7,0.8,0.36363636363636365,0.047619047619047616,6.0,1.0,1,3.0,1,53.0,50.42,Intermediate
CAND_43907170,Full Stack Developer,Junior,24,10,9,6,5,4,4,0.6,0.5555555555555556,0.2222222222222222,24.0,6.0,1,1.0,1,68.0,58.29,Intermediate
CAND_7E3DAD29,Business Analyst,Junior,29,10,6,3,1,7,5,0.3,0.16666666666666666,0.125,24.0,4.0,1,2.0,1,67.5,42.92,Beginner
CAND_2DB503E1,QA Engineer,Junior,26,10,8,0,3,10,5,0.0,0.375,0.05555555555555555,36.0,3.0,1,3.0,1,60.0,33.58,Beginner
CAND_80E82E56,System Administrator,Entry Level,24,2,0,0,0,2,0,0.0,0.0,0.0,12.0,4.0,1,1.0,1,58.0,17.4,Beginner
CAND_2FE0117A,Backend Developer,Fresher,23,10,9,2,1,7,8,0.2222222222222222,0.1111111111111111,0.058823529411764705,0.0,6.0,1,4.0,1,72.5,27.51,Beginner
CAND_3AE1B93A,Mobile Developer,Junior,21,10,15,3,1,7,14,0.3,0.06666666666666667,0.0,24.0,2.0,1,1.0,1,43.5,35.17,Beginner
CAND_616AC26C,System Administrator,Fresher,23,2,0,1,0,1,0,0.5,0.0,0.5,0.0,7.0,1,4.0,1,77.5,44.38,Beginner
CAND_5DF50C0B,Backend Developer,Entry Level,24,10,9,2,4,7,5,0.2222222222222222,0.4444444444444444,0.17647058823529413,6.0,4.0,1,1.0,1,58.0,29.63,Beginner
CAND_6D8457FC,UI/UX Designer,Entry Level,25,10,7,0,1,10,6,0.0,0.14285714285714285,0.0,6.0,3.0,1,1.0,1,54.5,14.9,Beginner
CAND_F64E93C6,Data Scientist,Fresher,30,10,9,3,4,7,5,0.3,0.4444444444444444,0.21052631578947367,0.0,6.0,1,2.0,1,79.0,32.55,Beginner
CAND_4064D740,Data Engineer,Fresher,22,10,15,2,1,7,13,0.2222222222222222,0.07142857142857142,0.0,0.0,2.0,1,0.0,0,43.0,15.09,Beginner
CAND_A4F2D2D7,Data Analyst,Entry Level,24,10,7,6,3,4,4,0.6,0.42857142857142855,0.058823529411764705,12.0,2.0,1,4.0,1,54.0,50.7,Intermediate
CAND_A4BBE6BA,AI ML,Entry Level,28,10,12,8,2,2,9,0.8,0.18181818181818182,0.09523809523809523,12.0,3.0,1,1.0,1,59.0,52.7,Intermediate
CAND_8A5030FF,System Administrator,Junior,25,2,0,0,0,2,0,0.0,0.0,0.0,24.0,1.0,1,2.0,1,46.5,22.99,Beginner
CAND_837B0831,System Administrator,Junior,27,2,0,0,0,2,0,0.0,0.0,0.0,24.0,5.0,1,3.0,1,71.5,29.57,Beginner
CAND_C5FC13A6,Machine Learning Engineer,Junior,25,10,1,4,0,6,1,0.4,0.0,0.18181818181818182,24.0,3.0,1,2.0,1,56.5,45.55,Beginner
CAND_CA8FF37A,AI ML,Entry Level,28,10,12,8,2,2,9,0.8,0.18181818181818182,0.0,12.0,0.0,0,2.0,1,46.0,47.62,Beginner
CAND_449C8304,QA Engineer,Entry Level,23,10,8,0,1,10,7,0.0,0.125,0.0,6.0,5.0,1,1.0,1,61.5,15.07,Beginner
CAND_08EF6B83,System Administrator,Fresher,25,2,0,1,0,1,0,0.5,0.0,0.0,0.0,4.0,1,2.0,1,61.5,32.08,Beginner
CAND_3382F1B1,Product Manager,Entry Level,27,8,0,3,0,5,0,0.375,0.0,0.125,12.0,1.0,1,3.0,1,51.5,34.62,Beginner
CAND_148F650A,Cloud Engineer,Entry Level,27,10,7,0,2,10,5,0.0,0.2857142857142857,0.0,6.0,1.0,1,1.0,1,47.5,12.65,Beginner
